STATUS	CODE	BYTES	URL	TYPE
HAVE	200	2500	https://cityinminiatures.top/	text/html
HAVE	200	7008	https://cityinminiatures.top/assets/index-CJdN52Ic.css	text/css
HAVE	200	297896	https://cityinminiatures.top/assets/index-zfVzkv9E.js	application/javascript
HAVE	200	8112	https://cityinminiatures.top/assets/traffic-Cw95n69J.js	application/javascript
HAVE	206	0	https://cityinminiatures.top/audio/bay-breeze.mp3	audio/mpeg
HAVE	204	402	https://cityinminiatures.top/cdn-cgi/rum	text/plain
GAP	200	4772	https://cityinminiatures.top/data/activity.076c47374f6c.json	application/json
GAP	200	560254	https://cityinminiatures.top/data/buildings.154e3e0b73a0.json	application/json
GAP	200	213756	https://cityinminiatures.top/data/elevation.1fb0e5de0b0a.json	application/json
GAP	200	318732	https://cityinminiatures.top/data/geography.62cb8ed28b0f.json	application/json
GAP	200	479727	https://cityinminiatures.top/data/night-lighting.8e73a8b6b3f3.json	application/json
GAP	200	1311880	https://cityinminiatures.top/data/surfaces.647933fc1440.json	application/json
GAP	200	1273760	https://cityinminiatures.top/data/terrain-buffers.d7448f9f8c14.bin	application/octet-stream
GAP	200	645	https://cityinminiatures.top/data/terrain-meta.2a788207027b.json	application/json
GAP	200	17171	https://cityinminiatures.top/data/traffic-demand.7b70bd13efe8.json	application/json
GAP	200	344675	https://cityinminiatures.top/data/traffic-meta.e4b4ee40e799.json	application/json
GAP	200	709936	https://cityinminiatures.top/data/traffic-points.b0b12d5d1d1e.bin	application/octet-stream
GAP	200	1187835	https://cityinminiatures.top/data/urban-instances.455bffafcaaf.bin	application/octet-stream
GAP	200	1515	https://cityinminiatures.top/data/urban-meta.ce5f75845c71.json	application/json
